1110;板橋戶政事務所;44;27;板橋區;25.012839;121.456308;中正路6號前人行道;Banqiao Dist.;Banqiao District Household Registration Office;No.6, Zhongzheng Rd.;
1111;板橋和平公園;40;8;板橋區;24.997679;121.464326;重慶路355號前廣場;Banqiao Dist.;Banqiao Heping Park;No.355, Chongqing Rd.;
1112;碧華公園;28;18;三重區;25.083741;121.487491;溪尾街303號(對面公園);Sanchong Dist.;Bihua Park;No.303, Xiwei St. (opposite);
1113;五福里(五華街);52;11;三重區;25.081725;121.493902;五華街64號對面人行道(碧華國中旁);Sanchong Dist.;Wufu Village (Wuhua St.);No.64, Wuhua St. (opposite);
1114;同安公園;40;20;三重區;25.057320;121.499067;正義南路/同安東街(正義南路側公園廣場);Sanchong Dist.;Tong An Park;Zhengyi S. Rd./Tong’an E. St.;
1115;中華里(中華路二段);38;12;新莊區;25.045951;121.453766;中華路2段31號對面;Xinzhuang Dist.;Zhonghua Village (Zhonghua Rd. Sec. 2 );No.31, Sec. 2, Zhonghua Rd. (opposite);
1116;中華自治街口;36;1;新莊區;25.047855;121.453202;中華路2段/自治街口人行道(中港大排東側);Xinzhuang Dist.;Zhonghua & Zizhi Intersection;Sec. 2, Zhonghua Rd/Zizhi St.;
1117;捷運府中站(3號出口);42;27;板橋區;25.008999;121.458776;府中路31號至53號對面;Banqiao Dist.;MRT Fuzhong Sta.(Exit.3);;
1118;捷運亞東醫院站(2號出口);52;0;板橋區;24.997830;121.452315;南雅南路二段122-23號‎前人行道;Banqiao Dist.;MRT Far Eastern Hospital Sta.(Exit.2);No.122-23, Sec. 2, Nanya S. Rd.;
1119;新泰公園;42;10;新莊區;25.037200;121.444946;建中街116巷/建中街116巷3弄;Xinzhuang Dist.;Xintai Park;Ln. 116, Jianzhong St./Aly. 3, Ln. 116, Jianzhong St.;
1120;上林里(環河東路一段);38;0;永和區;25.014999;121.520951;環河東路一段/竹林路75巷25弄;Yonghe Dist.;Shanglin Village (Huanhe E. Rd. Sec. 1 );Sec. 1, Huanhe E. Rd./Aly. 25, Ln. 75, Zhulin Rd.;
1121;進安公園;34;5;三重區;25.086031;121.493774;仁義街258號至290號;Sanchong Dist.;Jinan Park;No.258 to No.290, Renyi St.;
1122;自強溪尾街口;40;7;三重區;25.078153;121.489894;自強路4段/溪尾街;Sanchong Dist.;Ziqiang & Xiwei Intersection;Sec. 4, Ziqiang Rd./Xiwei St.;
1123;捷運三重國小站;54;9;三重區;25.070418;121.497126;仁愛街/三和路3段11巷;Sanchong Dist.;MRT Sanchong Elementary School Sta.;Ren’ai St./Ln. 11, Sec. 3, Sanhe Rd.;
1124;五堵火車站;50;23;汐止區;25.077493;121.666869;鄉長路一段人行道側;Xizhi Dist.;Wudu Railway Station;Sec. 1, Xiangzhang Rd.;
1125;捷運南勢角站1號出口;70;8;中和區;24.990804;121.506978;捷運路131號至141號對面;Zhonghe Dist.;MRT Nanshijiao Sta.(Exit 1);No.131 to No.141, Jieyun Rd.;
1126;柳堤公園;42;12;蘆洲區;25.087989;121.462192;長樂路125號對面公園通道;Luzhou Dist.;Liuti Park;No.125, Changle Rd. (opposite);
1127;新北市立圖書館總館;36;15;板橋區;25.001583;121.455524;貴興路119巷;Banqiao Dist.;New Taipei City Library;Ln. 119, Guixing Rd.;
1128;永福國小;36;9;三重區;25.077714;121.480315;永福街/下竹圍街;Sanchong Dist.;Yongfu St./Xiazhuwei St.;Yongfu St./Xiazhuwei St.;
1129;明志國小;46;27;泰山區;25.045729;121.426269;明志路二段324號對面人行道;Taishan Dist.;Mingzhi Elementary School;No.324, Sec. 2, Mingzhi Rd. (opposite);
1131;臺北醫院;36;25;新莊區;25.043536;121.459772;思源路131號至137號前人行道;Xinzhuang Dist.;Taipei Hospital;No.131 to No.137, Siyuan Rd.;
1132;重新重安街口;36;14;三重區;25.058443;121.489751;重新路三段/重安街;Sanchong Dist.;Chongxi & Chongan Intersection;Sec. 3, Chongxin Rd./Chong’an St.;
